assumed_initial_effect_delta,age_stage,baseline_observed_occupancy,counterfactual_occupancy_lower,counterfactual_occupancy_upper,increment_lower,increment_upper,endpoint_paths_evaluated
0.0,3-5,0.126951630573396,0.126951630573396,0.126951630573396,0.0,0.0,1
0.0,6-10,0.4615255932628915,0.46152559326289144,0.4615255932628915,-5.551115123125783e-17,0.0,8
0.0,11-14,0.5139052009629798,0.5139052009629796,0.5139052009629798,-1.1102230246251565e-16,0.0,8
0.0,15-17,0.3296944735154114,0.32969447351541137,0.3296944735154116,-5.551115123125783e-17,1.6653345369377348e-16,8
0.05,3-5,0.126951630573396,0.17695163057339602,0.17695163057339602,0.05000000000000002,0.05000000000000002,1
0.05,6-10,0.4615255932628915,0.435093747707415,0.4923643431875242,-0.026431845555476507,0.030838749924632702,8
0.05,11-14,0.5139052009629798,0.4844735440835046,0.5417441395636139,-0.029431656879475132,0.027838938600634133,8
0.05,15-17,0.3296944735154114,0.3108126746906827,0.3496565357279426,-0.018881798824728735,0.019962062212531162,8
0.1,3-5,0.126951630573396,0.226951630573396,0.226951630573396,0.1,0.1,1
0.1,6-10,0.4615255932628915,0.4086619021519385,0.523203093112157,-0.052863691110953015,0.06167749984926546,8
0.1,11-14,0.5139052009629798,0.45504188720402955,0.569583078164248,-0.05886331375895021,0.05567787720126827,8
0.1,15-17,0.3296944735154114,0.29193087586595395,0.3696185979404736,-0.03776359764945747,0.03992412442506216,8
0.2,3-5,0.126951630573396,0.32695163057339605,0.32695163057339605,0.20000000000000004,0.20000000000000004,1
0.2,6-10,0.4615255932628915,0.3557982110409855,0.5848805929614225,-0.10572738222190597,0.12335499969853098,8
0.2,11-14,0.5139052009629798,0.39617857344507945,0.6252609553655164,-0.1177266275179003,0.11135575440253664,8
0.2,15-17,0.3296944735154114,0.25416727821649654,0.4095427223655357,-0.07552719529891488,0.07984824885012426,8
