covariate,level,no_intervention_weighted_percent,intervention_weighted_percent,pre_standardisation_smd,standardised_target_percent,post_standardisation_smd
age_band,11-17,24.23518333661368,30.236646494899137,0.13511902131105993,24.956013029945375,0.0
age_band,18-35,62.7437232705777,55.31523959302426,-0.1514858860167939,61.85149558043219,0.0
age_band,3-10,13.021093392808625,14.448113912076604,0.04146647953248561,13.192491389622429,0.0
Gender,1,60.743821347771664,56.02051929854704,-0.0959323128623372,60.17651029747301,0.0
Gender,2,39.25617865222835,43.979480701452964,0.09593231286233697,39.823489702527006,0.0
Sector,1,79.22691940022422,66.70895286106212,-0.28469790339781,77.72339905134007,0.0
Sector,2,20.7730805997758,33.29104713893789,0.2846979033978096,22.276600948659944,0.0
severity_band,3_to_10ft,32.5540749363953,38.728996419584476,0.12919766696941412,33.295738534368,0.0
severity_band,no_light,36.75825735126991,32.86502878031908,-0.0817947670084349,36.29064559012891,0.0
severity_band,up_to_3ft,30.6876677123348,28.405974800096445,-0.05002502622775532,30.4136158755031,0.0
mpce_tertile,high,31.812417239039043,43.38134012255349,0.24056532752251208,33.201948910626314,0.0
mpce_tertile,low,32.804382771301704,25.07751926633209,-0.17100898852489727,31.876316980709678,0.0
mpce_tertile,middle,35.38319998965926,31.54114061111442,-0.08149161370307108,34.92173410866402,0.0
